FNC,Pin Type,BANK,Differential Pair,UWG30,SG48
IOB_0a,PIO,2,,E5,46
IOB_2a,DPIO,2,TRUE_of_IOB_3b,D5,47
IOB_3b_G6,DPIO/GBIN,2,COMP_of_IOB_2a,F5,44
IOB_4a,DPIO,2,TRUE_of_IOB_5b,-,48
IOB_5b,DPIO,2,COMP_of_IOB_4a,-,45
IOB_6a,PIO,2,,-,2
IOB_8a,DPIO,2,TRUE_of_IOB_9b,-,4
IOB_9b,DPIO,2,COMP_of_IOB_8a,E4,3
IOB_10a,DPIO,1,TRUE_of_IOB_11b,C3,-
IOB_11b_G5,DPIO/GBIN,1,COMP_of_IOB_10a,F4,-
creset_b,CONFIG,1,,F3,8
IOB_12a_G4_CDONE,CONFIG/DPIO/GBIN,1,TRUE_of_IOB_13b,D3,-
CDONE,CONFIG,1,,-,7
IOB_13b,DPIO,1,COMP_of_IOB_12a,E3,6
IOB_16a,PIO,1,,-,9
IOB_18a,PIO,1,,-,10
IOB_20a,PIO,1,,-,11
IOB_22a,DPIO,1,TRUE_of_IOB_23b,-,12
IOB_23b,DPIO,1,COMP_of_IOB_22a,-,21
IOB_24a,DPIO,1,TRUE_of_IOB_25b,B1,13
IOB_25b_G3,DPIO/GBIN,1,COMP_of_IOB_24a,F2,20
IOB_29b,PIO,1,,-,19
IOB_31b,PIO,1,,-,18
IOB_32a_SPI_SO,DPIO/CONFIG_SPI,1,,F1,14
IOB_33b_SPI_SI,DPIO/CONFIG_SPI,1,,E1,17
IOB_34a_SPI_SCK,DPIO/CONFIG_SPI,1,,D1,15
IOB_35b_SPI_SS,DPIO/CONFIG_SPI,1,,C1,16
VCCPLL,VCCPLL,,,B2,29
IOT_36b,DPIO/I3C,0,COMP_of_IOT_37a,A1,25
IOT_37a,DPIO/I3C,0,TRUE_of_IOT_36b,A2,23
IOT_38b,DPIO,0,COMP_of_IOT_39a,-,27
IOT_39a,DPIO,0,TRUE_of_IOT_38b,-,26
IOT_41a,PIO,0,,-,28
IOT_42b,DPIO,0,COMP_of_IOT_43a,-,31
IOT_43a,DPIO,0,TRUE_of_IOT_42b,-,32
IOT_44b,DPIO,0,COMP_of_IOT_45a,-,34
IOT_45a_G1,DPIO/GBIN,0,TRUE_of_IOT_44b,-,37
IOT_46b_G0,DPIO/GBIN,0,,B3,35
IOT_47a,PIO,0,,A4,-
IOT_48b,DPIO,0,COMP_of_IOT_49a,-,36
IOT_49a,DPIO,0,TRUE_of_IOT_48b,-,43
IOT_50b,DPIO,0,COMP_of_IOT_51a,-,38
IOT_51a,DPIO,0,TRUE_of_IOT_50b,-,42
RGB2,LED,0,,C5,41
RGB1,LED,0,,B5,40
RGB0,LED,0,,A5,39
GND,GND,GND,,B4,Paddle
GND,GND,GND,,E2,Paddle
GND,GND,GND,,-,Paddle
VCC,VCC,VCC,,C2,5
VCC,VCC,VCC,,-,30
VCCIO_0,VCCIO,0,,A3,33
SPI_Vccio1,VCCIO,1,,D2,22
VCCIO_2,VCCIO,2,,C4,1
VPP_2V5,VPP,VPP,,D4,24
